Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
2581,Renault Duster,Renault,Duster,7,67647,Dealer,Diesel,Manual,19.87,1461.0,83.8,5.0,575000.0
224,Maruti Wagon R,Maruti,Wagon R,3,52000,Dealer,CNG,Manual,33.54,998.0,67.04,5.0,435000.0
1803,Honda City,Honda,City,3,48959,Dealer,Petrol,Manual,,1497.0,117.6,5.0,875000.0
2728,Mahindra Scorpio,Mahindra,Scorpio,6,82000,dealer,Diesel,Manual,15.4,2179.0,,8.0,925000.0
14160,Mahindra XUV500,Mahindra,XUV500,4,34000,Dealer,Diesel,Automatic,16.0,2179.0,140.0,7.0,1175000.0
4259,Hyundai i10,Hyundai,i10,12,73000,Dealer,Petrol,Manual,20.36,1197.0,78.9,5.0,190000.0
2128,Hyundai i20,Hyundai,i20,12,88000,Dealer,Petrol,Manual,18.5,,80.0,5.0,275000.0
6137,Maruti Wagon R,Maruti,Wagon R,7,50000,Individual,Petrol,Manual,20.51,,67.04,5.0,351000.0
16919,Ford Freestyle,Ford,Freestyle,2,30000,individual,Diesel,Manual,24.4,1498.0,98.63,5.0,775000.0
2837,Maruti Swift Dzire,Maruti,Swift Dzire,10,75220,Dealer,Diesel,Manual,19.3,1248.0,73.9,5.0,390000.0
3636,Maruti Swift,Maruti,Swift,6,34000,Dealer,Petrol,Manual,16.1,1197.0,85.0,5.0,450000.0
13387,Hyundai Grand,Hyundai,Grand,1,15000,Individual,Petrol,Manual,,1197.0,81.86,5.0,511000.0
16566,Jeep Compass,Jeep,Compass,4,43726,Dealer,Diesel,Manual,17.1,1956.0,173.0,5.0,1625000.0
2879,Hyundai Grand,Hyundai,Grand,5,13000,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,455000.0
16209,Maruti Swift,Maruti,Swift,5,47350,Individual,Diesel,Manual,25.2,,74.0,5.0,640000.0
9834,Mahindra Scorpio,Mahindra,Scorpio,10,15000,Individual,Diesel,Manual,15.4,2179.0,120.0,8.0,700000.0
16202,Maruti Swift Dzire,Maruti,Swift Dzire,10,86000,Individual,Diesel,Manual,19.3,1248.0,73.9,5.0,420000.0
10163,Maruti Wagon R,Maruti,Wagon R,3,10983,Dealer,Petrol,Manual,21.5,1197.0,81.8,5.0,425000.0
12206,Ford Figo,Ford,Figo,8,44000,Dealer,Diesel,Manual,20.0,1399.0,68.1,5.0,235000.0
7312,Honda City,Honda,City,11,93000,Individual,Petrol,Manual,17.0,1497.0,118.0,5.0,276000.0
9080,Maruti Swift,Maruti,Swift,5,130130,Dealer,Diesel,Manual,25.2,1248.0,74.0,5.0,400000.0
7052,Maruti Swift,Maruti,Swift,6,48000,Dealer,Petrol,Manual,16.1,1298.0,88.2,5.0,480000.0
3413,Maruti Ertiga,Maruti,Ertiga,7,54000,Dealer,CNG,Manual,,,80.9,7.0,675000.0
1499,Maruti Ciaz,Maruti,Ciaz,3,70000,Individual,Diesel,Manual,28.09,1248.0,88.5,5.0,725000.0
7567,Hyundai i20,Hyundai,i20,12,50000,Individual,Petrol,Manual,17.0,,80.0,5.0,300000.0
13636,Hyundai Verna,Hyundai,Verna,3,3700,Dealer,Diesel,Manual,23.9,1582.0,126.2,5.0,1220000.0
6542,Hyundai i20,Hyundai,i20,7,100000,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,550000.0
17773,Maruti Vitara,Maruti,Vitara,1,16000,Dealer,Diesel,Automatic,24.3,1248.0,88.5,5.0,1125000.0
13351,Honda Civic,Honda,Civic,12,23000,Dealer,Petrol,Manual,14.8,,130.2,5.0,295000.0
10737,Hyundai i20,Hyundai,i20,3,25000,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,599000.0
10049,Hyundai Creta,Hyundai,Creta,5,45000,Dealer,Diesel,Manual,21.38,1396.0,88.7,5.0,925000.0
